isbn,name,writer,company,pyear,KDC,img
8809116481039,르누아르,"질 부르도 감독, 뱅상 로티에르 외 출연",피터팬픽쳐스,2014,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809130054561,도라 익스플로러,스크린에듀케이션 제작,NA,2011,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809130054578,도라 익스플로러,스크린에듀케이션 제작,NA,2011,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809154126404,더 코브:슬픈 돌고래의 진실,루이 시호요스 감독,와이드미디어,2010,688.5,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809154128743,수영장 SE (2disc),"오오모리 미카 감독, 모타이 마사코 외 출연",디에스미디어,2011,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809154129009,엄마 까투리,정길훈 감독,NA,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809154147553,러브레터 : HD 리마스터링 (2disc),"이와이 슌지 감독, 토요카와 에츠시 외 출연",노바미디어,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809192648364,아이언 맨,존 파브로 감독,NA,2010,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809192648500,드래곤 길들이기,딘 데블로이스;크리스 샌더스 감독,NA,2010,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809192649484,메가마인드,톰 맥그래스 감독,NA,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809194306118,닥터 지바고,데이비드 린 감독,NA,2001,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809226831205,부니 베어: 롤라 구출 대모험 - 한국어 더빙판,"유부원 외 감독, 임주현 외 목소리",영화사조은,2015,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809234760719,렛미인 한정판 (디지팩),토마스 알프레드슨 감독,플래니스,2009,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809234765141,"하늘을 나는 강아지, 비포와 친구들 : 한국어 더빙판","이도 앤젤 감독, 조경이 외 목소리",하은미디어,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809234765202,그녀,"스파이크 존즈 감독, 호아킨 피닉스 외 출연, 스칼렛 요한슨 목소리",하은미디어,2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809234767121,구름빵 영어나라,KBS 제작,NA,2013,740,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809246771079,BBC 셜록 (2disc),"폴 맥기건 감독, 루퍼트 그레이브스 외 출연",KBS 미디어,2011,687.7,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809255212907,최강 변신 트랜스 다이노봇 종이접기,서원선 (지은이),은하수미디어,2019,634.9,http://image.kyobobook.co.kr/images/book/large/907/l8809255212907.jpg
8809270741246,무민가족의 한여름 대소동 : 한국어 더빙판,마리아 린드버그 감독,미디어허브,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270742113,론 서바이버 (2disc),"피터 버그 감독, 마크 월버그 외 출연",비디오여행,2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270743004,해적: 바다로 간 산적 - 초회한정판 (2disc+52p 화보집),"이석훈 감독, 김남길 외 출연",비디오여행,2015,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270743783,토미카 무비 : 한국어 더빙판,"오카모토 토모로 감독, 배진홍 외 목소리",미디어허브,2015,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270747330,조선 마술사 : 초회 한정판 (2disc) - 화보집(36p)+엽서(4종),"유승호, 고아라 (출연), 김대승 (감독)",비디오여행,2016,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270747439,고스트 헌터: 얼음 몬스터의 부활 - 한국어 더빙 수록,"안케 엥겔케, 마일로 파커 (출연), 바스티안 파스테브카 (목소리), 토비 바우만 (감독)",비디오여행,2016,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
